code,name,trade_date,dailyline_found,auction_pct,open_pct,close_pct,excess_return,prev_close,day_open,day_high,day_low,day_close
000995,皇台酒业,2026-05-20,False,1.48,,,,,,,,
688359,三孚新科,2026-05-20,False,1.32,,,,,,,,
603697,有友食品,2026-05-20,False,1.38,,,,,,,,
688307,中润光学,2026-05-20,False,1.03,,,,,,,,
002395,双象股份,2026-05-20,False,2.68,,,,,,,,
688511,天微电子,2026-05-20,False,1.99,,,,,,,,
002422,科伦药业,2026-05-20,False,1.36,,,,,,,,
603726,朗迪集团,2026-05-20,False,1.82,,,,,,,,
605318,法狮龙,2026-05-20,False,2.0,,,,,,,,
000988,华工科技,2026-05-20,False,0.01,,,,,,,,
600118,中国卫星,2026-05-20,False,-2.56,,,,,,,,
603601,再升科技,2026-05-20,False,-0.44,,,,,,,,
002364,中恒电气,2026-05-20,False,0.08,,,,,,,,
300308,中际旭创,2026-05-20,False,-1.06,,,,,,,,
300502,新易盛,2026-05-20,False,0.5,,,,,,,,
300658,延江股份,2026-05-20,False,-12.18,,,,,,,,
300632,光莆股份,2026-05-20,False,-2.46,,,,,,,,
002196,方正电机,2026-05-20,False,-2.42,,,,,,,,
002149,西部材料,2026-05-20,False,-2.08,,,,,,,,
300721,怡达股份,2026-05-20,False,-3.14,,,,,,,,
603007,顺景科技,2026-05-20,False,,,,,,,,,
301599,理奇智能,2026-05-20,False,-2.06,,,,,,,,
603083,剑桥科技,2026-05-20,False,-2.73,,,,,,,,
603316,诚邦股份,2026-05-20,False,8.79,,,,,,,,
603333,尚纬股份,2026-05-20,False,1.58,,,,,,,,
600903,贵州燃气,2026-05-20,False,6.19,,,,,,,,
300101,振芯科技,2026-05-20,False,-0.78,,,,,,,,
002552,宝鼎科技,2026-05-20,False,-0.87,,,,,,,,
600126,杭钢股份,2026-05-20,False,0.34,,,,,,,,
301339,通行宝,2026-05-20,False,0.78,,,,,,,,
603989,艾华集团,2026-05-20,False,2.31,,,,,,,,
000518,四环生物,2026-05-20,False,1.61,,,,,,,,
603115,海星股份,2026-05-20,False,-0.67,,,,,,,,
605218,伟时电子,2026-05-20,False,0.05,,,,,,,,
001270,铖昌科技,2026-05-20,False,1.79,,,,,,,,
002392,北京利尔,2026-05-20,False,-3.53,,,,,,,,
605288,凯迪股份,2026-05-20,False,2.0,,,,,,,,
003004,声迅股份,2026-05-20,False,-1.0,,,,,,,,
001335,信凯科技,2026-05-20,False,-1.02,,,,,,,,
002079,苏州固锝,2026-05-20,False,-0.95,,,,,,,,
001326,联域股份,2026-05-20,False,0.0,,,,,,,,
600310,广西能源,2026-05-20,False,1.07,,,,,,,,
001218,丽臣实业,2026-05-20,False,0.34,,,,,,,,
002123,梦网科技,2026-05-20,False,0.49,,,,,,,,
002246,北化股份,2026-05-20,False,7.24,,,,,,,,
002107,沃华医药,2026-05-20,False,-0.86,,,,,,,,
000910,大亚圣象,2026-05-20,False,1.7,,,,,,,,
000902,新洋丰,2026-05-20,False,-0.07,,,,,,,,
603938,三孚股份,2026-05-20,False,4.28,,,,,,,,
688182,灿勤科技,2026-05-20,False,-0.34,,,,,,,,
600850,电科数字,2026-05-20,False,2.18,,,,,,,,
603178,圣龙股份,2026-05-20,False,1.01,,,,,,,,
603380,易德龙,2026-05-20,False,1.0,,,,,,,,
688228,开普云,2026-05-20,False,0.23,,,,,,,,
688051,佳华科技,2026-05-20,False,0.0,,,,,,,,
688260,昀冢科技,2026-05-20,False,4.47,,,,,,,,
002575,群兴玩具,2026-05-20,False,-0.29,,,,,,,,
603163,圣晖集成,2026-05-20,False,1.16,,,,,,,,
002067,景兴纸业,2026-05-20,False,-1.52,,,,,,,,
688781,视涯科技-UW,2026-05-20,False,-0.77,,,,,,,,
688360,德马科技,2026-05-20,False,-0.74,,,,,,,,
603727,博迈科,2026-05-20,False,0.74,,,,,,,,
